epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,9016.48,0.21602,0.15039,0.79478,0.99983,0.99984,0.995,0.99495,0.09131,0.07332,0.76034,0.007954,0.007954,0.007954
64,9158.82,0.21194,0.14933,0.79485,0.99983,0.99984,0.995,0.99496,0.09102,0.07315,0.76031,0.007921,0.007921,0.007921
65,9301.08,0.21383,0.14925,0.79404,0.99983,0.99984,0.995,0.99496,0.09091,0.07324,0.76037,0.007888,0.007888,0.007888
66,9443.36,0.21301,0.14963,0.79577,0.99983,0.99984,0.995,0.99496,0.09088,0.07331,0.76037,0.007855,0.007855,0.007855
67,9586.35,0.2146,0.14985,0.79495,0.99983,0.99984,0.995,0.99496,0.09075,0.0734,0.7603,0.007822,0.007822,0.007822
68,9728.7,0.2095,0.14743,0.79393,0.99983,0.99984,0.995,0.99496,0.09089,0.07384,0.76031,0.007789,0.007789,0.007789
69,9871.38,0.2127,0.14849,0.79487,0.99983,0.99984,0.995,0.99497,0.09083,0.07387,0.76032,0.007756,0.007756,0.007756
70,10014.2,0.21542,0.14991,0.79627,0.99983,0.99984,0.995,0.99498,0.0908,0.07386,0.76029,0.007723,0.007723,0.007723
71,10157,0.2123,0.14888,0.79589,0.99983,0.99984,0.995,0.99497,0.0906,0.07399,0.7603,0.00769,0.00769,0.00769
72,10299.8,0.21047,0.1472,0.79445,0.99983,0.99984,0.995,0.99497,0.09058,0.07425,0.76021,0.007657,0.007657,0.007657
73,10442.8,0.20946,0.14671,0.79534,0.99983,0.99984,0.995,0.99497,0.09043,0.0745,0.76013,0.007624,0.007624,0.007624
74,10585.1,0.21326,0.14901,0.79507,0.99983,0.99984,0.995,0.99497,0.0902,0.07476,0.76004,0.007591,0.007591,0.007591
75,10728.2,0.21525,0.14852,0.79654,0.99983,0.99984,0.995,0.99497,0.0902,0.07483,0.76004,0.007558,0.007558,0.007558
76,10870.8,0.21461,0.14787,0.79641,0.99983,0.99984,0.995,0.99497,0.09028,0.07507,0.76011,0.007525,0.007525,0.007525
77,11013.5,0.21347,0.14946,0.79687,0.99983,0.99984,0.995,0.99497,0.09015,0.07509,0.76024,0.007492,0.007492,0.007492
78,11155.7,0.2085,0.14818,0.79504,0.99983,0.99984,0.995,0.99498,0.09009,0.07472,0.76046,0.007459,0.007459,0.007459
79,11298,0.20631,0.14561,0.79536,0.99983,0.99984,0.995,0.99497,0.08984,0.07479,0.76053,0.007426,0.007426,0.007426
80,11440.3,0.20819,0.14761,0.79396,0.99983,0.99984,0.995,0.99497,0.08959,0.0746,0.76053,0.007393,0.007393,0.007393
81,11582.9,0.20415,0.1457,0.79492,0.99983,0.99984,0.995,0.99497,0.08948,0.07502,0.76059,0.00736,0.00736,0.00736
